date,price,price_numeric
2026-08-01,R 1150,1150.0
2026-07-29,R 1300,1300.0
2026-07-31,R 1300,1300.0
2026-07-30,R 1490,1490.0
2026-08-03,R 1490,1490.0
2026-08-18,R 1490,1490.0
2026-08-04,R 1650,1650.0
2026-08-02,R 1650,1650.0
2026-08-08,R 1650,1650.0
2026-08-12,R 1650,1650.0
2026-08-11,R 1650,1650.0
2026-08-10,R 1650,1650.0
2026-08-22,R 1650,1650.0
2026-08-25,R 1650,1650.0
2026-08-19,R 1650,1650.0
2026-08-05,R 1650,1650.0
2026-08-26,R 1650,1650.0
2026-08-21,R 1790,1790.0
2026-08-24,R 1790,1790.0
2026-08-15,R 1790,1790.0
2026-08-17,R 1790,1790.0
2026-08-20,R 1790,1790.0
2026-08-14,R 1790,1790.0
2026-08-09,R 1955,1955.0
2026-08-27,R 1955,1955.0
2026-08-16,R 1955,1955.0
2026-08-13,R 1955,1955.0
2026-08-06,R 2155,2155.0
2026-08-23,R 2155,2155.0
2026-08-07,R 2755,2755.0
